Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",11-02-1974,13:48:00,Titan IIIE,Sphinx & Viking-DS,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",12-02-1974,08:56:00,Voskhod,Cosmos 632,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",13-02-1974,18:00:00,Titan III(24)B,OPS 6889,Retired,,Success
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",18-02-1974,10:05:00,Scout D1,San Marco 4,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",27-02-1974,11:05:00,Cosmos-2I (63SM),Cosmos 633,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",05-03-1974,11:38:00,Vostok-2M,Meteor n†­27,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",05-03-1974,16:05:00,Cosmos-2I (63SM),Cosmos 634,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",14-03-1974,10:29:00,Voskhod,Cosmos 635,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",20-03-1974,08:30:00,Soyuz U,Cosmos 636,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",23-03-1974,14:14:00,Cosmos-3M (11K65M),Cosmos 641 to 648,Retired,,Success
RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",26-03-1974,13:35:00,Proton K/Block-DM,Cosmos 637,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",03-04-1974,07:30:00,Soyuz U,Cosmos 638,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",04-04-1974,08:30:00,Voskhod,Cosmos 639,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",10-04-1974,20:20:00,Titan IIID,"KH-9, SSF-B-25, IRCB",Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",11-04-1974,12:22:00,Voskhod,Cosmos 640,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",12-04-1974,08:00:00,Voskhod,Zenit-4MK n†­23,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",20-04-1974,20:53:00,Molniya-M /Block ML,Molniya-1 n†­40,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",24-04-1974,11:50:00,Vostok-2M,Meteor n†­28,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",26-04-1974,14:22:00,Molniya-M /Block L,Molniya-2 n†­41,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",29-04-1974,13:29:00,Voskhod,Cosmos 649,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29-04-1974,17:10:00,Cosmos-3M (11K65M),Cosmos 650,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",15-05-1974,07:30:00,Tsyklon-2,Cosmos 651,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",15-05-1974,08:30:00,Soyuz U,Cosmos 652,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",15-05-1974,12:30:00,Voskhod,Cosmos 653,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",17-05-1974,06:53:00,Tsyklon-2,Cosmos 654,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",17-05-1974,11:00:00,Cosmos-3M (11K65M),Intercosmos-11,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",21-05-1974,06:15:00,Cosmos-3M (11K65M),Cosmos 655,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",23-05-1974,12:16:00,Soyuz U,Yantar-2K n†­01,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",27-05-1974,07:20:00,Soyuz,Cosmos 656,Retired,,Success
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",29-05-1974,08:56:00,Proton K/Block D,Luna-22,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",30-05-1974,12:44:00,Voskhod,Cosmos 657,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",30-05-1974,13:00:00,Titan III(23)C,ATS-6,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",06-06-1974,06:20:00,Voskhod,Cosmos 658,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",06-06-1974,16:30:00,Titan III(24)B,OPS 1776,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",13-06-1974,12:29:00,Voskhod,Cosmos 659,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",18-06-1974,13:00:00,Cosmos-3M (11K65M),Cosmos 660,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",21-06-1974,09:03:00,Cosmos-3M (11K65M),Cosmos 661,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",26-06-1974,12:30:00,Cosmos-2I (63SM),Cosmos 662,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",27-06-1974,15:39:00,Cosmos-3M (11K65M),Cosmos 663,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",29-06-1974,12:50:00,Soyuz M,Cosmos 664,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",29-06-1974,15:59:00,Molniya-M /Block 2BL,Cosmos 665,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",03-07-1974,18:51:00,Soyuz,Soyuz 14,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",09-07-1974,14:39:00,Vostok-2M,Meteor-Priroda n†­1,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",11-07-1974,05:01:00,Cosmos-3MRB (65MRB),BOR-3 Shuttle,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",11-07-1974,11:00:00,Cosmos-2I (63SM),DS-P1-You n†­68,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",12-07-1974,12:15:00,Voskhod,Cosmos 666,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",12-07-1974,13:55:00,Feng Bao 1,JSSW-2,Retired,,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",14-07-1974,05:17:00,Atlas-E/F PTS,P73-3,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",23-07-1974,01:23:00,Molniya-M /Block L,Molniya-2 n†­42,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",25-07-1974,07:00:00,Voskhod,Cosmos 667,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",25-07-1974,12:00:00,Cosmos-2I (63SM),Cosmos 668,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",26-07-1974,06:59:00,Voskhod,Cosmos 669,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",06-08-1974,00:02:00,Soyuz U,Cosmos 670,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",07-08-1974,12:49:00,Voskhod,Cosmos 671,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12-08-1974,,Soyuz U,Cosmos 672,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",14-08-1974,15:45:00,Titan III(24)B,OPS 3004,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",16-08-1974,03:41:00,Vostok-2M,Cosmos 673,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",28-08-1974,20:10:00,Soyuz,Soyuz 15,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",29-08-1974,07:39:00,Voskhod,Cosmos 674,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29-08-1974,15:00:00,Cosmos-3M (11K65M),Cosmos 675,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",30-08-1974,09:00:00,Voskhod,Zenit-2M n†­51,Retired,,Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",11-09-1974,17:40:00,Cosmos-3M (11K65M),Cosmos 676,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",19-09-1974,14:57:00,Cosmos-3M (11K65M),Cosmos 677 to 684,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",20-09-1974,09:30:00,Voskhod,Cosmos 685,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",26-09-1974,16:34:00,Cosmos-2I (63SM),Cosmos 686,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",11-10-1974,11:29:00,Cosmos-3M (11K65M),Cosmos 687,Retired,,Success
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",15-10-1974,07:47:00,Scout B1,Ariel 5,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",18-10-1974,15:00:00,Voskhod,Cosmos 688,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",18-10-1974,22:36:00,Cosmos-3M (11K65M),Cosmos 689,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",22-10-1974,17:59:00,Soyuz U,Cosmos 690,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",24-10-1974,12:38:00,Molniya-M /Block L,Molniya-1 n†­44,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",25-10-1974,09:30:00,Soyuz U,Cosmos 691,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",28-10-1974,10:17:00,Vostok-2M,Meteor n†­29,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",29-10-1974,19:30:00,Titan IIID,"KH-9, S3 & SSF-B-26",Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",31-10-1974,10:00:00,Cosmos-3M (11K65M),Intercosmos-12,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",01-11-1974,14:20:00,Voskhod,Cosmos 692,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",04-11-1974,10:40:00,Soyuz M,Cosmos 693,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",05-11-1974,09:40:00,Long March 2,FSW-0 No.0,Retired,,Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",16-11-1974,11:45:00,Voskhod,Cosmos 694,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",20-11-1974,12:00:00,Cosmos-2I (63SM),Cosmos 695,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",21-11-1974,10:33:00,Molniya-M /Block L,Molniya-3 n†­45,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",21-11-1974,23:43:00,Atlas-SLV3D Centaur-D1A,Intelsat 4 F8,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",27-11-1974,11:44:00,Voskhod,Cosmos 696,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02-12-1974,09:40:00,Soyuz U,Soyuz 16,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",10-12-1974,07:11:00,Titan IIIE,Helios-1,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",13-12-1974,13:30:00,Soyuz U,Cosmos 697,Retired,,Partial Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",17-12-1974,11:45:00,Vostok-2M,Meteor n†­30,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",18-12-1974,14:12:00,Cosmos-3M (11K65M),Cosmos 698,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",21-12-1974,02:19:00,Molniya-M /Block L,Molniya-2 n†­46,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",24-12-1974,11:00:00,Tsyklon-2,Cosmos 699,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",26-12-1974,11:59:00,Cosmos-3M (11K65M),Cosmos 700,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",27-12-1974,09:10:00,Voskhod,Cosmos 701,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10-01-1975,21:43:00,Soyuz,Soyuz 17,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",17-01-1975,09:00:00,Voskhod,Cosmos 702,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",21-01-1975,11:04:00,Cosmos-2I (63SM),Cosmos 703,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",23-01-1975,11:00:00,Voskhod,Cosmos 704,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",28-01-1975,12:05:00,Cosmos-2I (63SM),Cosmos 705,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",30-01-1975,15:02:00,Molniya-M /Block 2BL,Cosmos 706,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",05-02-1975,13:15:00,Cosmos-3M (11K65M),Cosmos 707,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",06-02-1975,04:49:00,Molniya-M /Block L,Molniya-2 n†­47,Retired,,Success
CNES,"ELD, Guiana Space Centre, French Guiana, France",06-02-1975,16:35:00,Diamant BP4,Starlette,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",12-02-1975,03:30:00,Cosmos-3M (11K65M),Cosmos 708,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",12-02-1975,14:30:00,Voskhod,Cosmos 709,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",20-02-1975,23:35:00,Atlas-SLV3D Centaur-D1A,Intelsat 4 F6,Retired,,Failure
ISAS,"Mu Pad, Uchinoura Space Center, Japan",24-02-1975,05:25:00,Mu-III C,Taiyo,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",26-02-1975,09:00:00,Voskhod,Cosmos 710,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",28-02-1975,14:01:00,Cosmos-3M (11K65M),Cosmos 711 to 718,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",10-03-1975,04:41:00,Titan III(34)B Agena-D,Jumpseat 4,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",12-03-1975,08:55:00,Voskhod,Cosmos 719,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",21-03-1975,06:50:00,Soyuz U,Cosmos 720,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",26-03-1975,08:50:00,Voskhod,Cosmos 721,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",27-03-1975,08:00:00,Voskhod,Cosmos 722,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",27-03-1975,14:30:00,Cosmos-3M (11K65M),Intercosmos-13,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",01-04-1975,12:30:00,Vostok-2M,Meteor n†­31,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",02-04-1975,11:00:00,Tsyklon-2,Cosmos 723,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",05-04-1975,11:04:00,Soyuz,Soyuz 18a (7K-T n†­39),Retired,,Failure
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",07-04-1975,11:00:00,Tsyklon-2,Cosmos 724,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",08-04-1975,18:30:00,Cosmos-2I (63SM),Cosmos 725,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",11-04-1975,07:57:00,Cosmos-3M (11K65M),Cosmos 726,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",13-04-1975,00:51:00,Atlas-E/F Star-17A,P72-2,Retired,,Failure
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",14-04-1975,17:52:00,Molniya-M /Block ML,Molniya-3 n†­48,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",16-04-1975,08:00:00,Soyuz U,Cosmos 727,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",18-04-1975,10:00:00,Voskhod,Cosmos 728,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",18-04-1975,16:48:00,Titan III(24)B,OPS 4883,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",19-04-1975,07:58:00,Cosmos-3M (11K65M),Aryabhata,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",22-04-1975,21:10:00,Cosmos-3M (11K65M),Cosmos 729,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",24-04-1975,08:04:00,Voskhod,Cosmos 730,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",29-04-1975,10:23:00,Molniya-M /Block ML,Molniya-1 n†­49,Retired,,Success
ASI,"SM Launch Tab, San Marco Launch Platform, Kenya",07-05-1975,22:45:00,Scout F1,Explorer 53,Retired,,Success
CNES,"ELD, Guiana Space Centre, French Guiana, France",17-05-1975,14:47:00,Diamant BP4,Castor & Pollux,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",20-05-1975,14:03:00,Titan III(23)C,DSCS-II 5&6,Retired,,Failure
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",21-05-1975,06:59:00,Voskhod,Cosmos 731,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",22-05-1975,22:04:00,Atlas-SLV3D Centaur-D1A,Intelsat 4 F1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",24-05-1975,14:58:00,Soyuz,Soyuz 18,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",25-05-1975,14:30:00,Soyuz U,Cosmos 1012,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",28-05-1975,00:25:00,Cosmos-3M (11K65M),Cosmos 732 to 739,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",28-05-1975,07:29:00,Voskhod,Cosmos 740,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",30-05-1975,06:45:00,Voskhod,Cosmos 741,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",03-06-1975,09:00:00,Cosmos-3M (11K65M),DS-U3 satellite,Retired,,Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",03-06-1975,13:20:00,Voskhod,Cosmos 742,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",05-06-1975,01:37:00,Molniya-M /Block ML,Molniya-1 n†­50 & SRET-2,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",08-06-1975,18:30:00,Titan IIID,KH-9 & SSF-C-5,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",12-06-1975,12:30:00,Soyuz U,Cosmos 743,Retired,,Success
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",18-06-1975,09:00:00,Atlas-SLV3A Agena-D,AFP-827 (Canyon-6),Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",20-06-1975,06:54:00,Vostok-2M,Cosmos 744,Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",24-06-1975,12:05:00,Cosmos-2I (63SM),Cosmos 745,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",25-06-1975,12:59:00,Voskhod,Cosmos 746,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",27-06-1975,13:00:00,Voskhod,Cosmos 747,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",03-07-1975,13:40:00,Voskhod,Cosmos 748,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",04-07-1975,00:56:00,Cosmos-3M (11K65M),Cosmos 749,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",08-07-1975,05:05:00,Molniya-M /Block ML,Molniya-2 n†­51,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",11-07-1975,04:15:00,Vostok-2M,Meteor-2 n†­1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15-07-1975,12:20:00,Soyuz U,Soyuz 19 (Apollo-Soyuz),Retired,,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA",15-07-1975,19:50:00,Saturn IB,ASTP (Apollo???Soyuz Test Project),Retired,,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",17-07-1975,09:10:00,Cosmos-2I (63SM),Cosmos 750,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",23-07-1975,13:00:00,Voskhod,Cosmos 751,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",24-07-1975,19:00:00,Cosmos-3M (11K65M),Cosmos 752,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",26-07-1975,13:30:00,Feng Bao 1,JSSW-3,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",31-07-1975,13:00:00,Voskhod,Cosmos 753,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",13-08-1975,07:21:00,Voskhod,Cosmos 754,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",14-08-1975,13:29:00,Cosmos-3M (11K65M),Cosmos 755,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",20-08-1975,21:22:00,Titan IIIE,Viking 1,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",22-08-1975,02:11:00,Vostok-2M,Cosmos 756,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",27-08-1975,14:45:00,Voskhod,Cosmos 757,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",02-09-1975,13:09:00,Molniya-M /Block ML,Molniya-1 n†­52,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",05-09-1975,14:49:00,Soyuz U,Cosmos 758,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",09-09-1975,00:19:00,Molniya-M /Block ML,Molniya-2 n†­53,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",09-09-1975,05:30:00,N-I,Kiku 1,Retired,,Success
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",09-09-1975,18:39:00,Titan IIIE,Viking 2,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",12-09-1975,05:30:00,Soyuz U,Cosmos 759,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",16-09-1975,09:00:00,Voskhod,Cosmos 760,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",17-09-1975,07:10:00,Cosmos-3M (11K65M),Cosmos 761 to 768,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",18-09-1975,00:12:00,Vostok-2M,Meteor n†­32,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",23-09-1975,10:00:00,Voskhod,Cosmos 769,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",24-09-1975,12:00:00,Cosmos-3M (11K65M),Cosmos 770,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",25-09-1975,09:49:00,Soyuz U,Cosmos 771,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",26-09-1975,00:17:00,Atlas-SLV3D Centaur-D1AR,Intelsat 4A F1,Retired,,Success
CNES,"ELD, Guiana Space Centre, French Guiana, France",27-09-1975,14:00:00,Diamant BP4,Aura,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",29-09-1975,04:19:00,Soyuz U,Cosmos 772,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",30-09-1975,18:38:00,Cosmos-3M (11K65M),Cosmos 773,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",01-10-1975,08:30:00,Voskhod,Cosmos 774,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",09-10-1975,19:15:00,Titan III(24)B,OPS 5499,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",17-10-1975,14:29:00,Voskhod,Cosmos 776,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",29-10-1975,11:00:00,Tsyklon-2,Cosmos 777,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",04-11-1975,15:19:00,Voskhod,Cosmos 779,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",14-11-1975,19:13:00,Molniya-M /Block ML,Molniya-3 n†­54,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",15-11-1975,10:12:00,Cosmos-3M (11K65M),Cosmos 778,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",16-11-1975,03:29:00,Long March 2,FSW-0 No.1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",17-11-1975,14:36:00,Soyuz U,Soyuz 20,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",21-11-1975,09:20:00,Voskhod,Cosmos 780,Retired,,Success
